id,class,age,sex,survived
104,first,adult,male,no
105,first,adult,male,no
106,first,adult,male,no
107,first,adult,male,no
108,first,adult,male,no
109,first,adult,male,no
110,first,adult,male,no
111,first,adult,male,no
112,first,adult,male,no
113,first,adult,male,no
114,first,adult,male,no
115,first,adult,male,no
116,first,adult,male,no
117,first,adult,male,no
118,first,adult,male,no
119,first,adult,male,no
120,first,adult,male,no
121,first,adult,male,no
122,first,adult,male,no
123,first,adult,male,no
124,first,adult,male,no
125,first,adult,male,no
126,first,adult,male,no
127,first,adult,male,no
128,first,adult,male,no
129,first,adult,male,no
130,first,adult,male,no
131,first,adult,male,no
132,first,adult,male,no
133,first,adult,male,no
134,first,adult,male,no
135,first,adult,male,no
136,first,adult,male,no
137,first,adult,male,no
138,first,adult,male,no
139,first,adult,male,no
140,first,adult,male,no
141,first,adult,male,no
142,first,adult,male,no
143,first,adult,male,no
144,first,adult,male,no
145,first,adult,male,no
146,first,adult,male,no
147,first,adult,male,no
148,first,adult,male,no
149,first,adult,male,no
150,first,adult,male,no
151,first,adult,male,no
152,first,adult,male,no
153,first,adult,male,no
154,first,adult,male,no
155,first,adult,male,no
156,first,adult,male,no
157,first,adult,male,no
158,first,adult,male,no
159,first,adult,male,no
160,first,adult,male,no
161,first,adult,male,no
162,first,adult,male,no
163,first,adult,male,no
164,first,adult,male,no
165,first,adult,male,no
166,first,adult,male,no
167,first,adult,male,no
168,first,adult,male,no
169,first,adult,male,no
170,first,adult,male,no
171,first,adult,male,no
172,first,adult,male,no
173,first,adult,male,no
174,first,adult,male,no
175,first,adult,male,no
176,first,adult,female,yes
177,first,adult,female,yes
178,first,adult,female,yes
179,first,adult,female,yes
180,first,adult,female,yes
181,first,adult,female,yes
182,first,adult,female,yes
183,first,adult,female,yes
184,first,adult,female,yes
185,first,adult,female,yes
186,first,adult,female,yes
187,first,adult,female,yes
188,first,adult,female,yes
189,first,adult,female,yes
190,first,adult,female,yes
191,first,adult,female,yes
192,first,adult,female,yes
193,first,adult,female,yes
194,first,adult,female,yes
195,first,adult,female,yes
196,first,adult,female,yes
197,first,adult,female,yes
198,first,adult,female,yes
199,first,adult,female,yes
200,first,adult,female,yes
201,first,adult,female,yes
202,first,adult,female,yes
203,first,adult,female,yes
204,first,adult,female,yes
205,first,adult,female,yes
206,first,adult,female,yes
207,first,adult,female,yes
208,first,adult,female,yes
209,first,adult,female,yes
210,first,adult,female,yes
211,first,adult,female,yes
212,first,adult,female,yes
213,first,adult,female,yes
214,first,adult,female,yes
215,first,adult,female,yes
216,first,adult,female,yes
217,first,adult,female,yes
218,first,adult,female,yes
219,first,adult,female,yes
220,first,adult,female,yes
221,first,adult,female,yes
222,first,adult,female,yes
223,first,adult,female,yes
224,first,adult,female,yes
225,first,adult,female,yes
226,first,adult,female,yes
227,first,adult,female,yes
228,first,adult,female,yes
229,first,adult,female,yes
230,first,adult,female,yes
231,first,adult,female,yes
232,first,adult,female,yes
233,first,adult,female,yes
234,first,adult,female,yes
235,first,adult,female,yes
236,first,adult,female,yes
237,first,adult,female,yes
238,first,adult,female,yes
239,first,adult,female,yes
240,first,adult,female,yes
241,first,adult,female,yes
242,first,adult,female,yes
243,first,adult,female,yes
244,first,adult,female,yes
245,first,adult,female,yes
246,first,adult,female,yes
247,first,adult,female,yes
248,first,adult,female,yes
249,first,adult,female,yes
250,first,adult,female,yes
251,first,adult,female,yes
252,first,adult,female,yes
253,first,adult,female,yes
254,first,adult,female,yes
255,first,adult,female,yes
256,first,adult,female,yes
257,first,adult,female,yes
258,first,adult,female,yes
259,first,adult,female,yes
260,first,adult,female,yes
261,first,adult,female,yes
262,first,adult,female,yes
263,first,adult,female,yes
264,first,adult,female,yes
265,first,adult,female,yes
266,first,adult,female,yes
267,first,adult,female,yes
268,first,adult,female,yes
269,first,adult,female,yes
270,first,adult,female,yes
271,first,adult,female,yes
272,first,adult,female,yes
273,first,adult,female,yes
274,first,adult,female,yes
275,first,adult,female,yes
276,first,adult,female,yes
277,first,adult,female,yes
278,first,adult,female,yes
279,first,adult,female,yes
280,first,adult,female,yes
281,first,adult,female,yes
282,first,adult,female,yes
283,first,adult,female,yes
284,first,adult,female,yes
285,first,adult,female,yes
286,first,adult,female,yes
287,first,adult,female,yes
288,first,adult,female,yes
289,first,adult,female,yes
290,first,adult,female,yes
291,first,adult,female,yes
292,first,adult,female,yes
293,first,adult,female,yes
294,first,adult,female,yes
295,first,adult,female,yes
296,first,adult,female,yes
297,first,adult,female,yes
298,first,adult,female,yes
299,first,adult,female,yes
300,first,adult,female,yes
301,first,adult,female,yes
302,first,adult,female,yes
303,first,adult,female,yes
304,first,adult,female,yes
305,first,adult,female,yes
306,first,adult,female,yes
307,first,adult,female,yes
308,first,adult,female,yes
309,first,adult,female,yes
310,first,adult,female,yes
311,first,adult,female,yes
312,first,adult,female,yes
313,first,adult,female,yes
314,first,adult,female,yes
315,first,adult,female,yes
316,first,adult,female,no
317,first,adult,female,no
318,first,adult,female,no
319,first,adult,female,no
320,first,child,male,yes
321,first,child,male,yes
322,first,child,male,yes
323,first,child,male,yes
324,first,child,male,yes
325,first,child,female,yes
326,second,adult,male,yes
327,second,adult,male,yes
328,second,adult,male,yes
329,second,adult,male,yes
330,second,adult,male,yes
331,second,adult,male,yes
332,second,adult,male,yes
333,second,adult,male,yes
334,second,adult,male,yes
335,second,adult,male,yes
336,second,adult,male,yes
337,second,adult,male,yes
338,second,adult,male,yes
339,second,adult,male,yes
340,second,adult,male,no
341,second,adult,male,no
342,second,adult,male,no
343,second,adult,male,no
344,second,adult,male,no
345,second,adult,male,no
346,second,adult,male,no
347,second,adult,male,no
348,second,adult,male,no
349,second,adult,male,no
350,second,adult,male,no
351,second,adult,male,no
352,second,adult,male,no
353,second,adult,male,no
354,second,adult,male,no
355,second,adult,male,no
356,second,adult,male,no
357,second,adult,male,no
358,second,adult,male,no
359,second,adult,male,no
360,second,adult,male,no
361,second,adult,male,no
362,second,adult,male,no
363,second,adult,male,no
364,second,adult,male,no
365,second,adult,male,no
366,second,adult,male,no
367,second,adult,male,no
368,second,adult,male,no
369,second,adult,male,no
370,second,adult,male,no
371,second,adult,male,no
372,second,adult,male,no
373,second,adult,male,no
374,second,adult,male,no
375,second,adult,male,no
376,second,adult,male,no
377,second,adult,male,no
378,second,adult,male,no
379,second,adult,male,no
380,second,adult,male,no
381,second,adult,male,no
382,second,adult,male,no
383,second,adult,male,no
384,second,adult,male,no
385,second,adult,male,no
386,second,adult,male,no
387,second,adult,male,no
388,second,adult,male,no
389,second,adult,male,no
390,second,adult,male,no
391,second,adult,male,no
392,second,adult,male,no
393,second,adult,male,no
394,second,adult,male,no
395,second,adult,male,no
396,second,adult,male,no
397,second,adult,male,no
398,second,adult,male,no
399,second,adult,male,no
400,second,adult,male,no
401,second,adult,male,no
402,second,adult,male,no
403,second,adult,male,no
404,second,adult,male,no
405,second,adult,male,no
406,second,adult,male,no
407,second,adult,male,no
408,second,adult,male,no
409,second,adult,male,no
410,second,adult,male,no
411,second,adult,male,no
412,second,adult,male,no
413,second,adult,male,no
414,second,adult,male,no
415,second,adult,male,no
416,second,adult,male,no
417,second,adult,male,no
418,second,adult,male,no
419,second,adult,male,no
420,second,adult,male,no
421,second,adult,male,no
422,second,adult,male,no
423,second,adult,male,no
424,second,adult,male,no
425,second,adult,male,no
426,second,adult,male,no
427,second,adult,male,no
428,second,adult,male,no
429,second,adult,male,no
430,second,adult,male,no
431,second,adult,male,no
432,second,adult,male,no
433,second,adult,male,no
434,second,adult,male,no
435,second,adult,male,no
436,second,adult,male,no
437,second,adult,male,no
438,second,adult,male,no
439,second,adult,male,no
440,second,adult,male,no
441,second,adult,male,no
442,second,adult,male,no
443,second,adult,male,no
444,second,adult,male,no
445,second,adult,male,no
446,second,adult,male,no
447,second,adult,male,no
448,second,adult,male,no
449,second,adult,male,no
450,second,adult,male,no
451,second,adult,male,no
452,second,adult,male,no
453,second,adult,male,no
454,second,adult,male,no
455,second,adult,male,no
456,second,adult,male,no
457,second,adult,male,no
458,second,adult,male,no
459,second,adult,male,no
460,second,adult,male,no
461,second,adult,male,no
462,second,adult,male,no
463,second,adult,male,no
464,second,adult,male,no
465,second,adult,male,no
466,second,adult,male,no
467,second,adult,male,no
468,second,adult,male,no
469,second,adult,male,no
470,second,adult,male,no
471,second,adult,male,no
472,second,adult,male,no
473,second,adult,male,no
474,second,adult,male,no
475,second,adult,male,no
476,second,adult,male,no
477,second,adult,male,no
478,second,adult,male,no
479,second,adult,male,no
480,second,adult,male,no
481,second,adult,male,no
482,second,adult,male,no
483,second,adult,male,no
484,second,adult,male,no
485,second,adult,male,no
486,second,adult,male,no
487,second,adult,male,no
488,second,adult,male,no
489,second,adult,male,no
490,second,adult,male,no
491,second,adult,male,no
492,second,adult,male,no
493,second,adult,male,no
494,second,adult,female,yes
495,second,adult,female,yes
496,second,adult,female,yes
497,second,adult,female,yes
498,second,adult,female,yes
499,second,adult,female,yes
500,second,adult,female,yes
501,second,adult,female,yes
502,second,adult,female,yes
503,second,adult,female,yes
504,second,adult,female,yes
505,second,adult,female,yes
506,second,adult,female,yes
507,second,adult,female,yes
508,second,adult,female,yes
509,second,adult,female,yes
510,second,adult,female,yes
511,second,adult,female,yes
512,second,adult,female,yes
513,second,adult,female,yes
514,second,adult,female,yes
515,second,adult,female,yes
516,second,adult,female,yes
517,second,adult,female,yes
518,second,adult,female,yes
519,second,adult,female,yes
520,second,adult,female,yes
521,second,adult,female,yes
522,second,adult,female,yes
523,second,adult,female,yes
524,second,adult,female,yes
525,second,adult,female,yes
526,second,adult,female,yes
527,second,adult,female,yes
528,second,adult,female,yes
529,second,adult,female,yes
530,second,adult,female,yes
531,second,adult,female,yes
532,second,adult,female,yes
533,second,adult,female,yes
534,second,adult,female,yes
535,second,adult,female,yes
536,second,adult,female,yes
537,second,adult,female,yes
538,second,adult,female,yes
539,second,adult,female,yes
540,second,adult,female,yes
541,second,adult,female,yes
542,second,adult,female,yes
543,second,adult,female,yes
544,second,adult,female,yes
545,second,adult,female,yes
546,second,adult,female,yes
547,second,adult,female,yes
548,second,adult,female,yes
549,second,adult,female,yes
550,second,adult,female,yes
551,second,adult,female,yes
552,second,adult,female,yes
553,second,adult,female,yes
554,second,adult,female,yes
555,second,adult,female,yes
556,second,adult,female,yes
557,second,adult,female,yes
558,second,adult,female,yes
559,second,adult,female,yes
560,second,adult,female,yes
561,second,adult,female,yes
562,second,adult,female,yes
563,second,adult,female,yes
564,second,adult,female,yes
565,second,adult,female,yes
566,second,adult,female,yes
567,second,adult,female,yes
568,second,adult,female,yes
569,second,adult,female,yes
570,second,adult,female,yes
571,second,adult,female,yes
572,second,adult,female,yes
573,second,adult,female,yes
574,second,adult,female,no
575,second,adult,female,no
576,second,adult,female,no
577,second,adult,female,no
578,second,adult,female,no
579,second,adult,female,no
580,second,adult,female,no
581,second,adult,female,no
582,second,adult,female,no
583,second,adult,female,no
584,second,adult,female,no
585,second,adult,female,no
586,second,adult,female,no
587,second,child,male,yes
588,second,child,male,yes
589,second,child,male,yes
590,second,child,male,yes
591,second,child,male,yes
592,second,child,male,yes
593,second,child,male,yes
594,second,child,male,yes
595,second,child,male,yes
596,second,child,male,yes
597,second,child,male,yes
598,second,child,female,yes
599,second,child,female,yes
600,second,child,female,yes
601,second,child,female,yes
602,second,child,female,yes
603,second,child,female,yes
604,second,child,female,yes
605,second,child,female,yes
606,second,child,female,yes
607,second,child,female,yes
608,second,child,female,yes
609,second,child,female,yes
610,second,child,female,yes
611,third,adult,male,yes
612,third,adult,male,yes
613,third,adult,male,yes
614,third,adult,male,yes
615,third,adult,male,yes
616,third,adult,male,yes
617,third,adult,male,yes
618,third,adult,male,yes
619,third,adult,male,yes
620,third,adult,male,yes
621,third,adult,male,yes
622,third,adult,male,yes
623,third,adult,male,yes
624,third,adult,male,yes
625,third,adult,male,yes
626,third,adult,male,yes
627,third,adult,male,yes
628,third,adult,male,yes
629,third,adult,male,yes
630,third,adult,male,yes
631,third,adult,male,yes
632,third,adult,male,yes
633,third,adult,male,yes
634,third,adult,male,yes
635,third,adult,male,yes
636,third,adult,male,yes
637,third,adult,male,yes
638,third,adult,male,yes
639,third,adult,male,yes
640,third,adult,male,yes
641,third,adult,male,yes
642,third,adult,male,yes
643,third,adult,male,yes
644,third,adult,male,yes
645,third,adult,male,yes
646,third,adult,male,yes
647,third,adult,male,yes
648,third,adult,male,yes
649,third,adult,male,yes
650,third,adult,male,yes
651,third,adult,male,yes
652,third,adult,male,yes
653,third,adult,male,yes
654,third,adult,male,yes
655,third,adult,male,yes
656,third,adult,male,yes
657,third,adult,male,yes
658,third,adult,male,yes
659,third,adult,male,yes
660,third,adult,male,yes
661,third,adult,male,yes
662,third,adult,male,yes
663,third,adult,male,yes
664,third,adult,male,yes
665,third,adult,male,yes
666,third,adult,male,yes
667,third,adult,male,yes
668,third,adult,male,yes
669,third,adult,male,yes
670,third,adult,male,yes
671,third,adult,male,yes
672,third,adult,male,yes
673,third,adult,male,yes
674,third,adult,male,yes
675,third,adult,male,yes
676,third,adult,male,yes
677,third,adult,male,yes
678,third,adult,male,yes
679,third,adult,male,yes
680,third,adult,male,yes
681,third,adult,male,yes
682,third,adult,male,yes
683,third,adult,male,yes
684,third,adult,male,yes
685,third,adult,male,yes
686,third,adult,male,no
687,third,adult,male,no
688,third,adult,male,no
689,third,adult,male,no
690,third,adult,male,no
691,third,adult,male,no
692,third,adult,male,no
693,third,adult,male,no
694,third,adult,male,no
695,third,adult,male,no
696,third,adult,male,no
697,third,adult,male,no
698,third,adult,male,no
699,third,adult,male,no
700,third,adult,male,no
701,third,adult,male,no
702,third,adult,male,no
703,third,adult,male,no
704,third,adult,male,no
705,third,adult,male,no
706,third,adult,male,no
707,third,adult,male,no
708,third,adult,male,no
709,third,adult,male,no
710,third,adult,male,no
711,third,adult,male,no
712,third,adult,male,no
713,third,adult,male,no
714,third,adult,male,no
715,third,adult,male,no
716,third,adult,male,no
717,third,adult,male,no
718,third,adult,male,no
719,third,adult,male,no
720,third,adult,male,no
721,third,adult,male,no
722,third,adult,male,no
723,third,adult,male,no
724,third,adult,male,no
725,third,adult,male,no
726,third,adult,male,no
727,third,adult,male,no
728,third,adult,male,no
729,third,adult,male,no
730,third,adult,male,no
731,third,adult,male,no
732,third,adult,male,no
733,third,adult,male,no
734,third,adult,male,no
735,third,adult,male,no
736,third,adult,male,no
737,third,adult,male,no
738,third,adult,male,no
739,third,adult,male,no
740,third,adult,male,no
741,third,adult,male,no
742,third,adult,male,no
743,third,adult,male,no
744,third,adult,male,no
745,third,adult,male,no
746,third,adult,male,no
747,third,adult,male,no
748,third,adult,male,no
749,third,adult,male,no
750,third,adult,male,no
751,third,adult,male,no
752,third,adult,male,no
753,third,adult,male,no
754,third,adult,male,no
755,third,adult,male,no
756,third,adult,male,no
757,third,adult,male,no
758,third,adult,male,no
759,third,adult,male,no
760,third,adult,male,no
761,third,adult,male,no
762,third,adult,male,no
763,third,adult,male,no
764,third,adult,male,no
765,third,adult,male,no
766,third,adult,male,no
767,third,adult,male,no
768,third,adult,male,no
769,third,adult,male,no
770,third,adult,male,no
771,third,adult,male,no
772,third,adult,male,no
773,third,adult,male,no
774,third,adult,male,no
775,third,adult,male,no
776,third,adult,male,no
777,third,adult,male,no
778,third,adult,male,no
779,third,adult,male,no
780,third,adult,male,no
781,third,adult,male,no
782,third,adult,male,no
783,third,adult,male,no
784,third,adult,male,no
785,third,adult,male,no
786,third,adult,male,no
787,third,adult,male,no
788,third,adult,male,no
789,third,adult,male,no
790,third,adult,male,no
791,third,adult,male,no
792,third,adult,male,no
793,third,adult,male,no
794,third,adult,male,no
795,third,adult,male,no
796,third,adult,male,no
797,third,adult,male,no
798,third,adult,male,no
799,third,adult,male,no
800,third,adult,male,no
801,third,adult,male,no
802,third,adult,male,no
803,third,adult,male,no
804,third,adult,male,no
805,third,adult,male,no
806,third,adult,male,no
807,third,adult,male,no
808,third,adult,male,no
809,third,adult,male,no
810,third,adult,male,no
811,third,adult,male,no
812,third,adult,male,no
813,third,adult,male,no
814,third,adult,male,no
815,third,adult,male,no
816,third,adult,male,no
817,third,adult,male,no
818,third,adult,male,no
819,third,adult,male,no
820,third,adult,male,no
821,third,adult,male,no
822,third,adult,male,no
823,third,adult,male,no
824,third,adult,male,no
825,third,adult,male,no
826,third,adult,male,no
827,third,adult,male,no
828,third,adult,male,no
829,third,adult,male,no
830,third,adult,male,no
831,third,adult,male,no
832,third,adult,male,no
833,third,adult,male,no
834,third,adult,male,no
835,third,adult,male,no
836,third,adult,male,no
837,third,adult,male,no
838,third,adult,male,no
839,third,adult,male,no
840,third,adult,male,no
841,third,adult,male,no
842,third,adult,male,no
843,third,adult,male,no
844,third,adult,male,no
845,third,adult,male,no
846,third,adult,male,no
847,third,adult,male,no
848,third,adult,male,no
849,third,adult,male,no
850,third,adult,male,no
851,third,adult,male,no
852,third,adult,male,no
853,third,adult,male,no
854,third,adult,male,no
855,third,adult,male,no
856,third,adult,male,no
857,third,adult,male,no
858,third,adult,male,no
859,third,adult,male,no
860,third,adult,male,no
861,third,adult,male,no
862,third,adult,male,no
863,third,adult,male,no
864,third,adult,male,no
865,third,adult,male,no
866,third,adult,male,no
867,third,adult,male,no
868,third,adult,male,no
869,third,adult,male,no
870,third,adult,male,no
871,third,adult,male,no
872,third,adult,male,no
873,third,adult,male,no
874,third,adult,male,no
875,third,adult,male,no
876,third,adult,male,no
877,third,adult,male,no
878,third,adult,male,no
879,third,adult,male,no
880,third,adult,male,no
881,third,adult,male,no
882,third,adult,male,no
883,third,adult,male,no
884,third,adult,male,no
885,third,adult,male,no
886,third,adult,male,no
887,third,adult,male,no
888,third,adult,male,no
889,third,adult,male,no
890,third,adult,male,no
891,third,adult,male,no
892,third,adult,male,no
893,third,adult,male,no
894,third,adult,male,no
895,third,adult,male,no
896,third,adult,male,no
897,third,adult,male,no
898,third,adult,male,no
899,third,adult,male,no
900,third,adult,male,no
901,third,adult,male,no
902,third,adult,male,no
903,third,adult,male,no
904,third,adult,male,no
905,third,adult,male,no
906,third,adult,male,no
907,third,adult,male,no
908,third,adult,male,no
909,third,adult,male,no
910,third,adult,male,no
911,third,adult,male,no
912,third,adult,male,no
913,third,adult,male,no
914,third,adult,male,no
915,third,adult,male,no
916,third,adult,male,no
917,third,adult,male,no
918,third,adult,male,no
919,third,adult,male,no
920,third,adult,male,no
921,third,adult,male,no
922,third,adult,male,no
923,third,adult,male,no
924,third,adult,male,no
925,third,adult,male,no
926,third,adult,male,no
927,third,adult,male,no
928,third,adult,male,no
929,third,adult,male,no
930,third,adult,male,no
931,third,adult,male,no
932,third,adult,male,no
933,third,adult,male,no
934,third,adult,male,no
935,third,adult,male,no
936,third,adult,male,no
937,third,adult,male,no
938,third,adult,male,no
939,third,adult,male,no
940,third,adult,male,no
941,third,adult,male,no
942,third,adult,male,no
943,third,adult,male,no
944,third,adult,male,no
945,third,adult,male,no
946,third,adult,male,no
947,third,adult,male,no
948,third,adult,male,no
949,third,adult,male,no
950,third,adult,male,no
951,third,adult,male,no
952,third,adult,male,no
953,third,adult,male,no
954,third,adult,male,no
955,third,adult,male,no
956,third,adult,male,no
957,third,adult,male,no
958,third,adult,male,no
959,third,adult,male,no
960,third,adult,male,no
961,third,adult,male,no
962,third,adult,male,no
963,third,adult,male,no
964,third,adult,male,no
965,third,adult,male,no
966,third,adult,male,no
967,third,adult,male,no
968,third,adult,male,no
969,third,adult,male,no
970,third,adult,male,no
971,third,adult,male,no
972,third,adult,male,no
973,third,adult,male,no
974,third,adult,male,no
975,third,adult,male,no
976,third,adult,male,no
977,third,adult,male,no
978,third,adult,male,no
979,third,adult,male,no
980,third,adult,male,no
981,third,adult,male,no
982,third,adult,male,no
983,third,adult,male,no
984,third,adult,male,no
985,third,adult,male,no
986,third,adult,male,no
987,third,adult,male,no
988,third,adult,male,no
989,third,adult,male,no
990,third,adult,male,no
991,third,adult,male,no
992,third,adult,male,no
993,third,adult,male,no
994,third,adult,male,no
995,third,adult,male,no
996,third,adult,male,no
997,third,adult,male,no
998,third,adult,male,no
999,third,adult,male,no
1000,third,adult,male,no
1001,third,adult,male,no
1002,third,adult,male,no
1003,third,adult,male,no
1004,third,adult,male,no
1005,third,adult,male,no
1006,third,adult,male,no
1007,third,adult,male,no
1008,third,adult,male,no
1009,third,adult,male,no
1010,third,adult,male,no
1011,third,adult,male,no
1012,third,adult,male,no
1013,third,adult,male,no
1014,third,adult,male,no
1015,third,adult,male,no
1016,third,adult,male,no
1017,third,adult,male,no
1018,third,adult,male,no
1019,third,adult,male,no
1020,third,adult,male,no
1021,third,adult,male,no
1022,third,adult,male,no
1023,third,adult,male,no
1024,third,adult,male,no
1025,third,adult,male,no
1026,third,adult,male,no
1027,third,adult,male,no
1028,third,adult,male,no
1029,third,adult,male,no
1030,third,adult,male,no
1031,third,adult,male,no
1032,third,adult,male,no
1033,third,adult,male,no
1034,third,adult,male,no
1035,third,adult,male,no
1036,third,adult,male,no
1037,third,adult,male,no
1038,third,adult,male,no
1039,third,adult,male,no
1040,third,adult,male,no
1041,third,adult,male,no
1042,third,adult,male,no
1043,third,adult,male,no
1044,third,adult,male,no
1045,third,adult,male,no
1046,third,adult,male,no
1047,third,adult,male,no
1048,third,adult,male,no
1049,third,adult,male,no
1050,third,adult,male,no
1051,third,adult,male,no
1052,third,adult,male,no
1053,third,adult,male,no
1054,third,adult,male,no
1055,third,adult,male,no
1056,third,adult,male,no
1057,third,adult,male,no
1058,third,adult,male,no
1059,third,adult,male,no
1060,third,adult,male,no
1061,third,adult,male,no
1062,third,adult,male,no
1063,third,adult,male,no
1064,third,adult,male,no
1065,third,adult,male,no
1066,third,adult,male,no
1067,third,adult,male,no
1068,third,adult,male,no
1069,third,adult,male,no
1070,third,adult,male,no
1071,third,adult,male,no
1072,third,adult,male,no
1073,third,adult,female,yes
1074,third,adult,female,yes
1075,third,adult,female,yes
1076,third,adult,female,yes
1077,third,adult,female,yes
1078,third,adult,female,yes
1079,third,adult,female,yes
1080,third,adult,female,yes
1081,third,adult,female,yes
1082,third,adult,female,yes
1083,third,adult,female,yes
1084,third,adult,female,yes
1085,third,adult,female,yes
1086,third,adult,female,yes
1087,third,adult,female,yes
1088,third,adult,female,yes
1089,third,adult,female,yes
1090,third,adult,female,yes
1091,third,adult,female,yes
1092,third,adult,female,yes
1093,third,adult,female,yes
1094,third,adult,female,yes
1095,third,adult,female,yes
1096,third,adult,female,yes
1097,third,adult,female,yes
1098,third,adult,female,yes
1099,third,adult,female,yes
1100,third,adult,female,yes
1101,third,adult,female,yes
1102,third,adult,female,yes
1103,third,adult,female,yes
1104,third,adult,female,yes
1105,third,adult,female,yes
1106,third,adult,female,yes
1107,third,adult,female,yes
1108,third,adult,female,yes
1109,third,adult,female,yes
1110,third,adult,female,yes
1111,third,adult,female,yes
1112,third,adult,female,yes
1113,third,adult,female,yes
1114,third,adult,female,yes
1115,third,adult,female,yes
1116,third,adult,female,yes
1117,third,adult,female,yes
1118,third,adult,female,yes
1119,third,adult,female,yes
1120,third,adult,female,yes
1121,third,adult,female,yes
1122,third,adult,female,yes
1123,third,adult,female,yes
1124,third,adult,female,yes
1125,third,adult,female,yes
1126,third,adult,female,yes
1127,third,adult,female,yes
1128,third,adult,female,yes
1129,third,adult,female,yes
1130,third,adult,female,yes
1131,third,adult,female,yes
1132,third,adult,female,yes
1133,third,adult,female,yes
1134,third,adult,female,yes
1135,third,adult,female,yes
1136,third,adult,female,yes
1137,third,adult,female,yes
1138,third,adult,female,yes
1139,third,adult,female,yes
1140,third,adult,female,yes
1141,third,adult,female,yes
1142,third,adult,female,yes
1143,third,adult,female,yes
1144,third,adult,female,yes
1145,third,adult,female,yes
1146,third,adult,female,yes
1147,third,adult,female,yes
1148,third,adult,female,yes
1149,third,adult,female,no
1150,third,adult,female,no
1151,third,adult,female,no
1152,third,adult,female,no
1153,third,adult,female,no
1154,third,adult,female,no
1155,third,adult,female,no
1156,third,adult,female,no
1157,third,adult,female,no
1158,third,adult,female,no
1159,third,adult,female,no
1160,third,adult,female,no
1161,third,adult,female,no
1162,third,adult,female,no
1163,third,adult,female,no
1164,third,adult,female,no
1165,third,adult,female,no
1166,third,adult,female,no
1167,third,adult,female,no
1168,third,adult,female,no
1169,third,adult,female,no
1170,third,adult,female,no
1171,third,adult,female,no
1172,third,adult,female,no
1173,third,adult,female,no
1174,third,adult,female,no
1175,third,adult,female,no
1176,third,adult,female,no
1177,third,adult,female,no
1178,third,adult,female,no
1179,third,adult,female,no
1180,third,adult,female,no
1181,third,adult,female,no
1182,third,adult,female,no
1183,third,adult,female,no
1184,third,adult,female,no
1185,third,adult,female,no
1186,third,adult,female,no
1187,third,adult,female,no
1188,third,adult,female,no
1189,third,adult,female,no
1190,third,adult,female,no
1191,third,adult,female,no
1192,third,adult,female,no
1193,third,adult,female,no
1194,third,adult,female,no
1195,third,adult,female,no
1196,third,adult,female,no
1197,third,adult,female,no
1198,third,adult,female,no
1199,third,adult,female,no
1200,third,adult,female,no
1201,third,adult,female,no
1202,third,adult,female,no
1203,third,adult,female,no
1204,third,adult,female,no
1205,third,adult,female,no
1206,third,adult,female,no
1207,third,adult,female,no
1208,third,adult,female,no
1209,third,adult,female,no
1210,third,adult,female,no
1211,third,adult,female,no
